Date & Time,Temperature (°F)
"1/8/21, 5:10:36 PM",394
"1/8/21, 5:10:39 PM",394
"1/8/21, 5:10:42 PM",394
"1/8/21, 5:10:45 PM",394
"1/8/21, 5:10:48 PM",394
"1/8/21, 5:10:49 PM",392
"1/8/21, 5:10:52 PM",392
"1/8/21, 5:10:53 PM",394
"1/8/21, 5:10:54 PM",392
"1/8/21, 5:10:57 PM",392
"1/8/21, 5:11:00 PM",392
"1/8/21, 5:11:03 PM",392
"1/8/21, 5:11:06 PM",392
"1/8/21, 5:11:09 PM",392
"1/8/21, 5:11:12 PM",392
"1/8/21, 5:11:13 PM",390
"1/8/21, 5:11:16 PM",390
"1/8/21, 5:11:19 PM",390
"1/8/21, 5:11:22 PM",390
"1/8/21, 5:11:25 PM",390
"1/8/21, 5:11:28 PM",390
"1/8/21, 5:11:29 PM",388
"1/8/21, 5:11:32 PM",388
"1/8/21, 5:11:35 PM",388
"1/8/21, 5:11:37 PM",386
"1/8/21, 5:11:40 PM",386
"1/8/21, 5:11:43 PM",386
"1/8/21, 5:11:46 PM",386
"1/8/21, 5:11:49 PM",384
"1/8/21, 5:11:52 PM",384
"1/8/21, 5:11:55 PM",384
"1/8/21, 5:11:58 PM",384
"1/8/21, 5:12:01 PM",384
"1/8/21, 5:12:04 PM",384
"1/8/21, 5:12:06 PM",383
"1/8/21, 5:12:09 PM",383
"1/8/21, 5:12:12 PM",383
"1/8/21, 5:12:15 PM",383
"1/8/21, 5:12:18 PM",383
"1/8/21, 5:12:21 PM",383
"1/8/21, 5:12:22 PM",381
"1/8/21, 5:12:25 PM",381
"1/8/21, 5:12:28 PM",381
"1/8/21, 5:12:31 PM",381
"1/8/21, 5:12:34 PM",381
"1/8/21, 5:12:35 PM",379
"1/8/21, 5:12:38 PM",379
"1/8/21, 5:12:41 PM",379
"1/8/21, 5:12:44 PM",379
"1/8/21, 5:12:45 PM",378
"1/8/21, 5:12:48 PM",378
"1/8/21, 5:12:51 PM",376
"1/8/21, 5:12:54 PM",376
"1/8/21, 5:12:57 PM",376
"1/8/21, 5:13:00 PM",376
"1/8/21, 5:13:03 PM",376
"1/8/21, 5:13:06 PM",376
"1/8/21, 5:13:09 PM",376
"1/8/21, 5:13:11 PM",378
"1/8/21, 5:13:14 PM",378
"1/8/21, 5:13:14 PM",376
"1/8/21, 5:13:15 PM",378
"1/8/21, 5:13:18 PM",378
"1/8/21, 5:13:21 PM",378
"1/8/21, 5:13:24 PM",378
"1/8/21, 5:13:27 PM",379
"1/8/21, 5:13:30 PM",379
"1/8/21, 5:13:31 PM",381
"1/8/21, 5:13:34 PM",381
"1/8/21, 5:13:37 PM",381
"1/8/21, 5:13:40 PM",381
"1/8/21, 5:13:42 PM",383
"1/8/21, 5:13:45 PM",383
"1/8/21, 5:13:48 PM",383
